q_bond_0,q_bond_5,bond_local_idx,bond_global_idx,optimal_prob_bid,optimal_prob_ask,optimal_delta_bid,optimal_delta_ask
0.0,-18000.0,0,0,0.22279999,0.22279999,0.15122361,0.15122361
0.0,-12000.0,0,0,0.22279999,0.22279999,0.15122361,0.15122361
0.0,-6000.0,0,0,0.22279999,0.22279999,0.15122361,0.15122361
0.0,0.0,0,0,0.22279999,0.22279999,0.15122361,0.15122361
0.0,6000.0,0,0,0.22279999,0.22279999,0.15122361,0.15122361
0.0,12000.0,0,0,0.22279999,0.22279999,0.15122361,0.15122361
0.0,18000.0,0,0,0.22279999,0.22279999,0.15122361,0.15122361
0.0,24000.0,0,0,0.22279999,0.22279999,0.15122361,0.15122361
0.0,30000.0,0,0,0.22279999,0.22279999,0.15122361,0.15122361
7000.0,-30000.0,0,0,0.14359999,0.3119,0.2118932,0.10901683
7000.0,-24000.0,0,0,0.14359999,0.3119,0.2118932,0.10901683
7000.0,-18000.0,0,0,0.14359999,0.3119,0.2118932,0.10901683
7000.0,-12000.0,0,0,0.14359999,0.3119,0.2118932,0.10901683
7000.0,-6000.0,0,0,0.14359999,0.3119,0.2118932,0.10901683
7000.0,0.0,0,0,0.14359999,0.3119,0.2118932,0.10901683
7000.0,6000.0,0,0,0.14359999,0.3119,0.2118932,0.10901683
7000.0,12000.0,0,0,0.14359999,0.3119,0.2118932,0.10901683
7000.0,18000.0,0,0,0.14359999,0.3119,0.2118932,0.10901683
7000.0,24000.0,0,0,0.14359999,0.3119,0.2118932,0.10901683
7000.0,30000.0,0,0,0.14359999,0.3119,0.2118932,0.10901683
14000.0,-30000.0,0,0,0.0644,0.3614,0.3668741,0.08950358
14000.0,-24000.0,0,0,0.0644,0.3614,0.3668741,0.08950358
14000.0,-18000.0,0,0,0.0644,0.3614,0.3668741,0.08950358
14000.0,-12000.0,0,0,0.0644,0.3614,0.3668741,0.08950358
14000.0,-6000.0,0,0,0.0644,0.3614,0.3668741,0.08950358
14000.0,0.0,0,0,0.0644,0.3614,0.3668741,0.08950358
14000.0,6000.0,0,0,0.0644,0.3614,0.3668741,0.08950358
14000.0,12000.0,0,0,0.0644,0.3614,0.3668741,0.08950358
14000.0,18000.0,0,0,0.0644,0.3614,0.3668741,0.08950358
14000.0,24000.0,0,0,0.0644,0.3614,0.3668741,0.08950358
14000.0,30000.0,0,0,0.0644,0.3614,0.3668741,0.08950358
21000.0,-30000.0,0,0,0.2723,0.44059998,0.12609069,0.05903472
21000.0,-24000.0,0,0,0.2723,0.44059998,0.12609069,0.05903472
21000.0,-18000.0,0,0,0.2723,0.44059998,0.12609069,0.05903472
21000.0,-12000.0,0,0,0.2723,0.44059998,0.12609069,0.05903472
21000.0,-6000.0,0,0,0.2723,0.44059998,0.12609069,0.05903472
21000.0,0.0,0,0,0.2723,0.44059998,0.12609069,0.05903472
21000.0,6000.0,0,0,0.2723,0.44059998,0.12609069,0.05903472
21000.0,12000.0,0,0,0.2723,0.44059998,0.12609069,0.05903472
21000.0,18000.0,0,0,0.2723,0.44059998,0.12609069,0.05903472
21000.0,24000.0,0,0,0.2723,0.44059998,0.12609069,0.05903472
21000.0,30000.0,0,0,0.2723,0.44059998,0.12609069,0.05903472
28000.0,-30000.0,0,0,0.2723,0.44059998,0.12609069,0.05903472
28000.0,-24000.0,0,0,0.2723,0.44059998,0.12609069,0.05903472
28000.0,-18000.0,0,0,0.2723,0.44059998,0.12609069,0.05903472
28000.0,-12000.0,0,0,0.2723,0.44059998,0.12609069,0.05903472
28000.0,-6000.0,0,0,0.2723,0.44059998,0.12609069,0.05903472
28000.0,0.0,0,0,0.2723,0.44059998,0.12609069,0.05903472
28000.0,6000.0,0,0,0.2723,0.44059998,0.12609069,0.05903472
28000.0,12000.0,0,0,0.2723,0.44059998,0.12609069,0.05903472
28000.0,18000.0,0,0,0.2723,0.44059998,0.12609069,0.05903472
28000.0,24000.0,0,0,0.2723,0.44059998,0.12609069,0.05903472
28000.0,30000.0,0,0,0.2723,0.44059998,0.12609069,0.05903472
35000.0,-30000.0,0,0,0.2723,0.44059998,0.12609069,0.05903472
35000.0,-24000.0,0,0,0.2723,0.44059998,0.12609069,0.05903472
35000.0,-18000.0,0,0,0.2723,0.44059998,0.12609069,0.05903472
35000.0,-12000.0,0,0,0.2723,0.44059998,0.12609069,0.05903472
35000.0,-6000.0,0,0,0.2723,0.44059998,0.12609069,0.05903472
35000.0,0.0,0,0,0.2723,0.44059998,0.12609069,0.05903472
35000.0,6000.0,0,0,0.2723,0.44059998,0.12609069,0.05903472
35000.0,12000.0,0,0,0.2723,0.44059998,0.12609069,0.05903472
35000.0,18000.0,0,0,0.2723,0.44059998,0.12609069,0.05903472
35000.0,24000.0,0,0,0.2723,0.44059998,0.12609069,0.05903472
35000.0,30000.0,0,0,0.2723,0.44059998,0.12609069,0.05903472
